Majority protein IDs,Gene names,Intensity 1_10_0_1,Intensity 2_10_0_2,Intensity 3_10_0_3,Intensity 4_10_001_1,Intensity 5_10_001_2,Intensity 6_10_001_3,Intensity 7_10_01_1,Intensity 8_10_01_2,Intensity 9_10_01_3,Intensity 10_10_1_1,Intensity 11_10_1_2,Intensity 12_10_1_3,Intensity 13_10_10_1,Intensity 14_10_10_2,Intensity 15_10_10_3,Intensity 16_10_100_1,Intensity 17_10_100_2,Intensity 18_10_100_3,Intensity 19_10_1000_1,Intensity 20_10_1000_2,Intensity 21_10_1000_3,Intensity 22_24_0_1,Intensity 23_24_0_2,Intensity 24_24_0_3,Intensity 25_24_001_1,Intensity 26_24_001_2,Intensity 27_24_001_3,Intensity 28_24_01_1,Intensity 29_24_01_2,Intensity 30_24_01_3,Intensity 31_24_1_1,Intensity 32_24_1_2,Intensity 33_24_1_3,Intensity 34_24_10_1,Intensity 35_24_10_2,Intensity 36_24_10_3,Intensity 37_24_100_1,Intensity 38_24_100_2,Intensity 39_24_100_3,Intensity 40_24_1000_1,Intensity 41_24_1000_2,Intensity 42_24_1000_3
A1L020,MEX3A,1357800000,307450000,334620000,287010000,520060000,140550000,10465000,97168000,203520000,254640000,15361000,7325200,3349200,264000000,33565000,24222000,6445900,208240000,74550000,95444000,1106700000,137340000,25092000,67447000,312610000,86540000,73860000,198160000,272900000,183070000,852850000,95160000,339230000,25987000,422560000,93103000,206350000,400170000,261640000,251220000,136280000,1251700000
A1L0T0,ILVBL,1889700000,1439500000,1497800000,1469800000,1287400000,1149100000,1211700000,1070800000,1261500000,1411900000,1179300000,1313100000,1258900000,1115200000,1356000000,1253500000,1253500000,1905200000,1499900000,1325500000,1491300000,1900200000,1997500000,2109300000,1929300000,1619800000,1589800000,1892800000,1704200000,1329500000,1382400000,2202200000,1671800000,900690000,1757600000,1952600000,1452000000,1892400000,1483500000,1786500000,1634300000,1547300000
A1L170,C1orf226,64074000,67107000,20869000,27900000,27633000,53634000,49785000,51921000,37070000,74576000,76791000,52602000,75072000,28888000,75893000,28774000,21780000,19630000,14216000,56017000,131090000,98308000,284550000,90152000,104950000,84115000,106420000,92038000,225490000,67507000,138410000,140870000,225210000,29408000,128480000,118380000,127560000,35083000,104330000,171090000,0,150310000
A1L188,C17orf89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201910,2506200,0,7937200,2091700,0,939910,0,0,0,0,0,1441200,0,1733500,2628000,3252900
A1L390,PLEKHG3,50346000,33610000,27047000,21648000,41847000,35362000,14198000,32446000,21101000,30184000,20488000,6063300,4563100,4805300,9029300,10398000,9624800,50045000,52486000,39077000,30910000,38661000,33886000,39466000,26662000,25756000,30841000,7847200,52617000,43001000,45371000,25670000,17337000,42242000,36951000,35212000,26828000,22231000,52800000,14596000,23920000,25221000
A1L3X0,ELOVL7,6361900,12851000,56334000,34424000,26795000,65517000,19022000,37211000,35246000,5480700,28307000,39178000,3785000,0,8316500,6338000,0,16720000,26220000,6041900,40462000,47253000,51381000,36294000,43230000,0,0,6240700,70072000,48934000,50324000,0,34063000,21684000,39721000,47009000,30063000,29987000,31583000,18829000,0,13341000
A1X283,SH3PXD2B,888200000,503490000,351450000,386860000,613910000,447080000,548870000,452030000,529690000,487540000,335600000,400700000,364940000,270630000,460950000,415940000,423500000,742170000,713500000,481860000,531280000,579060000,672600000,306450000,587010000,561710000,390840000,536820000,588630000,586590000,454350000,510800000,462260000,528560000,602180000,611990000,269510000,509760000,424570000,214290000,257210000,615820000
A2A2Y4,FRMD3,2471100,23227000,0,0,6404700,46969000,2008800,2238200,25339000,677480,0,1663900,30714000,997340,51454000,0,4155200,0,21603000,241180000,76292000,11552000,21680000,16822000,93184000,0,31811000,24854000,107290000,16262000,23291000,30646000,62075000,59688000,16949000,10498000,18095000,0,0,6849500,0,157280000
A2CJ06,DYTN,2809200000,2059100000,1515800000,1516600000,1282500000,241840000,289210000,945710000,1441400000,1190500000,1694700000,1064900000,1205600000,725590000,1611200000,1614900000,230770000,2735700000,2393200000,1788200000,2552000000,2561500000,2856100000,2589700000,2751300000,2376500000,2710500000,2642200000,3084800000,2285900000,2600800000,3542000000,2892800000,2341300000,3809600000,2889100000,2356100000,1740300000,353860000,1763500000,2449300000,3780400000
A2RRP1,NBAS,2103900000,1716900000,1586200000,1501100000,1278100000,1341100000,1280600000,1373200000,1354800000,1223300000,1231000000,1154900000,1196300000,1073400000,1281900000,1183100000,1071700000,1933300000,1516000000,1182800000,1802300000,1808400000,2015300000,1885600000,1479800000,1246200000,1281500000,1490800000,1305900000,1166500000,1176200000,1631700000,1398700000,918740000,1756100000,1965300000,1356700000,1791900000,1627400000,1895000000,1576100000,1787600000
A2RTX5,TARSL2,34970000,44410000,44216000,35378000,26295000,18186000,23158000,10220000,36849000,29434000,25620000,14420000,46318000,14114000,53602000,34152000,43449000,55924000,18522000,10911000,34264000,79540000,71497000,44905000,67336000,68412000,82063000,51181000,50560000,17536000,33744000,79707000,62257000,24119000,84432000,88176000,21311000,52470000,48125000,131950000,39910000,90007000
A2RU67,KIAA1467,22474000,21768000,9741200,13162000,43165000,11124000,41331000,44622000,67227000,14229000,16695000,34191000,22261000,15131000,35020000,59932000,19003000,40352000,36084000,693170,56167000,29909000,6415900,20392000,9999400,19549000,18712000,15895000,10500000,12151000,26983000,30816000,25920000,21242000,18085000,0,25607000,39667000,33124000,27169000,31156000,39308000
A2RUC4,TYW5,88707000,61221000,116490000,103710000,64467000,66990000,89184000,90618000,75351000,66285000,76603000,76192000,71184000,66981000,77366000,92935000,107770000,100180000,71339000,32722000,115490000,126640000,102930000,126280000,115930000,45900000,58114000,117070000,77243000,101820000,82465000,177490000,132510000,68833000,157560000,142820000,83075000,133750000,93339000,102020000,90380000,63638000
A2VDF0,FUOM,23390000,0,12071000,18696000,17959000,32257000,4830300,30406000,0,0,14162000,5930400,17372000,0,0,8389100,0,87408000,0,0,16436000,27020000,0,33651000,14847000,17156000,12946000,19126000,0,12997000,34977000,16429000,0,0,24925000,0,39774000,12020000,27571000,20746000,15681000,30809000
A3KMH1,VWA8,2251800000,2168500000,1942900000,2028900000,1824900000,1990100000,1903700000,1800100000,1849400000,2000200000,1823300000,1893200000,1832400000,1702900000,1666800000,1599300000,1788400000,2096400000,2205500000,1919000000,2462300000,1595700000,1539700000,1478900000,1520700000,1698600000,1457600000,1811700000,1217700000,1047800000,1181400000,1815900000,1930300000,1034200000,1499400000,1484100000,1370500000,1659400000,1678000000,1728500000,1468500000,1573900000
A3KN83,SBNO1,413800000,417170000,292430000,321310000,314800000,315140000,276300000,294470000,243540000,296880000,248680000,322120000,282170000,185240000,301480000,316360000,282870000,477880000,366470000,333980000,483970000,362880000,354780000,413370000,217060000,166810000,179310000,208670000,332060000,228860000,181090000,370500000,168870000,329680000,265060000,257780000,258180000,319630000,419860000,372730000,363840000,406770000
A4D0V7,CPED1,14710000,11106000,0,7623000,7625800,6354600,11548000,7504800,3917600,60086000,72006000,11785000,54772000,62024000,60404000,68214000,59049000,20946000,17380000,22021000,18603000,21743000,24135000,19813000,21130000,0,16215000,68294000,118800000,68918000,34766000,130240000,137110000,14235000,26476000,22576000,27343000,32615000,24680000,20305000,102660000,16565000
A4D1E9,GTPBP10,511490000,598220000,469050000,498170000,486980000,547430000,454290000,503420000,541900000,434900000,358620000,463760000,404950000,442060000,477460000,410620000,435980000,894700000,551300000,354090000,611340000,611060000,586240000,534030000,645720000,491030000,531930000,473830000,504550000,452120000,471680000,410050000,663980000,292770000,704550000,595970000,629080000,748010000,824240000,620610000,668710000,746800000
A4D1P6,WDR91,171310000,91283000,156330000,165360000,123950000,133470000,146500000,125860000,147930000,113740000,106920000,144820000,98882000,73353000,129550000,93743000,110130000,160990000,131710000,127450000,186980000,126210000,130810000,141970000,169450000,98533000,209140000,122560000,163040000,100870000,106380000,230240000,243810000,111600000,105520000,294610000,256330000,142960000,231160000,239840000,229330000,155590000
A5D8V6,VPS37C,85136000,36634000,70318000,68909000,0,0,0,63469000,60501000,35069000,37701000,49527000,40591000,20479000,38928000,0,9264000,6348900,98935000,58835000,91252000,52761000,57617000,0,82047000,99111000,70835000,85878000,43334000,66959000,54585000,93612000,104830000,63649000,108200000,102620000,89132000,77036000,100550000,95167000,71700000,90373000
A5PLL7,TMEM189,38785000,37598000,50128000,50443000,19092000,34136000,42064000,18989000,22707000,30240000,12746000,18958000,16792000,21929000,36961000,21040000,25801000,22647000,38123000,0,129980000,13903000,5192900,38250000,25194000,13998000,15216000,21716000,29994000,25584000,14645000,35696000,19538000,20752000,16797000,14790000,15185000,30231000,25085000,22310000,30207000,27283000
